soc,time_m
0,0.2894411081
2,1.2144411081
4,2.1394411081
6,3.0644411081
8.9139648019,3.9894411081
10.6092116969,4.8028290744
12.8001781951,5.7297124209
14.4200465051,6.5775430089
16.6115271818,7.4059244236
18.9527880892,8.3525742651
20.5738390101,8.9738504098
22.3744411034,9.7725093623
26.2756170942,11.5275625757
29.352024877,12.8192931115
30.6572415833,13.4404304279
33.3588902823,14.4955910554
36.0157797328,15.481780498
37.7270690006,16.1030963079
39.5955041078,16.8722344297
41.711786162,17.70058279
43.1748171398,18.341489907
44.5705292824,18.9134159227
47.0600168666,19.8643524399
49.2082095802,20.75350473
50.4691092317,21.2209592001
52.6309732202,21.9606756543
54.4053301679,22.8479750126
56.4112658185,23.8240281059
58.4374637794,24.6227862214
60.3734233932,25.4215046717
62.173099965,26.3974671016
64.093762765,27.245429907
67.8453127788,28.8526641139
69.3751998311,29.6512040708
71.3559701112,30.5090435128
73.3373574057,31.2486806366
75.0471555556,32.155652049
77.0734563521,32.9347097781
79.0691635211,33.8122562174
80.7791673423,34.6798268571
82.9519833353,35.6264026569
84.4554158979,36.306728396
86.3004173146,37.2433098857
88.5810051454,38.2884352157
90.3481342109,39.737193697
93.6701394093,42.9596744827
94.9701114938,44.5855315045
95.5772278939,46.4080882901
96.175834638,46.9796639298
96.1721325519,47.6888778395
97.3355130872,49.55108
98.4874788571,53.6000250486
99.1128228892,72.0990051802
