time_m,soc
0.3563543234,0.8200825007
0.8847312892,1.6598961683
1.5214445393,3.0862101416
2.2067221768,4.832018445
2.6156239456,5.6193437583
3.0449653653,6.7489844252
3.7220945204,8.385874207
4.5567856762,10.7826003419
5.1789727388,12.4314192951
5.6866404994,14.0243267406
6.1781547081,15.8203412959
6.7409422305,17.7201915084
7.4182280481,19.5173471148
7.9466869956,20.8523769939
8.415816301,21.9614787396
9.0509852839,23.8647521057
9.5122902649,24.7852000565
9.9882785186,26.3294226516
10.6413713743,28.0581151874
11.4154491169,30.1496619979
12.1232906789,32.3541728751
12.660006592,34.0266278885
13.4157635132,36.1804978277
13.9106131309,37.823611525
14.6790027204,40.3643521496
15.2392722339,42.3326654328
15.9304877672,44.2765276194
16.4075112156,45.7044716659
16.8927423928,47.301943316
17.6104608464,49.3267904986
18.1331821407,50.9624354973
18.6611295192,52.3030076249
19.2799374599,54.2167134589
20.0200725549,56.1382436438
20.7071493279,58.0791716988
21.268375852,59.6161676365
21.7714556128,60.9032733661
22.4972667789,62.9799865113
23.0642039767,64.7176444491
23.6778610137,66.2981633389
24.3598794611,68.0006116975
24.9483517889,69.4383361827
25.5015820316,71.0221152187
25.9644561904,72.313785153
26.5290032516,73.9568988503
27.2114998325,75.6000125476
27.7973732852,77.1214141192
28.2865566859,78.4526404944
28.7543542073,79.8447229324
29.4423162337,81.5943347397
29.9337049337,82.8310168743
30.8178833594,84.7284219772
31.6494520119,86.3989209028
32.3167762186,87.8777232304
32.7882712812,88.9389008266
33.2355733818,89.931615352
33.6355733818,91
34.1355733818,92
34.7355733818,93
35.4355733818,94
36.2355733818,95
37.1355733818,96
38.1355733818,97
40.1355733818,98
44.1355733818,99
52.1355733818,100
