soc,kw2,time,kw
3.515625,41.28299332,0,41.28299332
3.515625,40.64922333,1,40.64922333
3.515625,41.38862228,2,41.38862228
3.515625,40.64922333,3,40.64922333
3.515625,40.64922333,4,40.64922333
3.515625,40.12108231,5,40.12108231
3.90625,39.80419922,6,39.80419922
3.90625,39.69857025,7,39.69857025
3.90625,40.43796539,8,40.43796539
3.90625,39.59294128,9,39.59294128
3.90625,40.01545334,10,40.01545334
3.90625,39.48731613,11,39.48731613
4.296875,40.86048126,12,40.86048126
4.296875,40.96610641,13,40.96610641
4.296875,39.80419922,14,39.80419922
4.296875,40.75485229,15,40.75485229
4.296875,40.43796539,16,40.43796539
4.296875,40.86048126,17,40.86048126
4.6875,40.54359436,18,40.54359436
4.6875,40.96610641,19,40.96610641
4.6875,40.64922333,20,40.64922333
4.6875,42.44490433,21,42.44490433
4.6875,42.97304153,22,42.97304153
4.6875,42.86741257,23,42.86741257
5.078125,42.97304153,24,42.97304153
5.078125,42.86741257,25,42.86741257
5.078125,42.86741257,26,42.86741257
5.078125,42.65615845,27,42.65615845
5.078125,42.86741257,28,42.86741257
5.078125,42.65615845,29,42.65615845
5.078125,42.86741257,30,42.86741257
5.46875,42.55052948,31,42.55052948
5.46875,42.55052948,32,42.55052948
5.46875,42.86741257,33,42.86741257
5.46875,42.55052948,34,42.55052948
5.46875,42.97304153,35,42.97304153
5.859375,42.86741257,36,42.86741257
5.859375,42.97304153,37,42.97304153
5.859375,42.97304153,38,42.97304153
5.859375,42.55052948,39,42.55052948
5.859375,42.86741257,40,42.86741257
5.859375,42.55052948,41,42.55052948
6.25,42.44490433,42,42.44490433
6.25,42.86741257,43,42.86741257
6.25,42.55052948,44,42.55052948
6.25,42.97304153,45,42.97304153
6.25,42.97304153,46,42.97304153
6.25,42.97304153,47,42.97304153
6.640625,42.97304153,48,42.97304153
6.640625,42.86741257,49,42.86741257
6.640625,42.97304153,50,42.97304153
6.640625,42.55052948,51,42.55052948
6.640625,42.55052948,52,42.55052948
6.640625,42.97304153,53,42.97304153
6.640625,42.55052948,54,42.55052948
7.03125,42.55052948,55,42.55052948
7.03125,42.55052948,56,42.55052948
7.03125,43.0786705,57,43.0786705
7.03125,42.55052948,58,42.55052948
7.03125,42.97304153,59,42.97304153
7.03125,42.55052948,60,42.55052948
7.421875,42.97304153,61,42.97304153
7.421875,42.55052948,62,42.55052948
7.421875,42.65615845,63,42.65615845
7.421875,42.97304153,64,42.97304153
7.421875,42.55052948,65,42.55052948
7.421875,42.97304153,66,42.97304153
8.203125,42.97304153,67,42.97304153
8.203125,42.97304153,68,42.97304153
8.203125,42.86741257,69,42.86741257
8.203125,42.97304153,70,42.97304153
8.203125,42.55052948,71,42.55052948
8.203125,42.86741257,72,42.86741257
8.59375,42.55052948,73,42.55052948
8.59375,42.55052948,74,42.55052948
8.59375,43.0786705,75,43.0786705
8.59375,42.97304153,76,42.97304153
8.59375,42.55052948,77,42.55052948
8.984375,42.65615845,78,42.65615845
8.984375,42.55052948,79,42.55052948
8.984375,42.86741257,80,42.86741257
8.984375,42.55052948,81,42.55052948
8.984375,42.55052948,82,42.55052948
8.984375,42.55052948,83,42.55052948
8.984375,42.55052948,84,42.55052948
9.375,42.65615845,85,42.65615845
9.375,42.55052948,86,42.55052948
9.375,42.65615845,87,42.65615845
9.375,42.97304153,88,42.97304153
9.375,42.97304153,89,42.97304153
9.765625,42.97304153,90,42.97304153
9.765625,42.55052948,91,42.55052948
9.765625,42.86741257,92,42.86741257
9.765625,42.65615845,93,42.65615845
9.765625,42.55052948,94,42.55052948
9.765625,42.65615845,95,42.65615845
10.15625,42.55052948,96,42.55052948
10.15625,42.55052948,97,42.55052948
10.15625,42.97304153,98,42.97304153
10.15625,42.55052948,99,42.55052948
10.15625,42.97304153,100,42.97304153
10.15625,42.55052948,101,42.55052948
10.546875,42.55052948,102,42.55052948
10.546875,42.97304153,103,42.97304153
10.546875,42.55052948,104,42.55052948
10.546875,42.55052948,105,42.55052948
10.546875,42.65615845,106,42.65615845
10.546875,42.65615845,107,42.65615845
10.9375,42.65615845,108,42.65615845
10.9375,42.86741257,109,42.86741257
10.9375,42.97304153,110,42.97304153
10.9375,42.55052948,111,42.55052948
10.9375,42.97304153,112,42.97304153
10.9375,42.97304153,113,42.97304153
10.9375,42.55052948,114,42.55052948
11.328125,42.97304153,115,42.97304153
11.328125,42.65615845,116,42.65615845
11.328125,42.55052948,117,42.55052948
11.328125,42.55052948,118,42.55052948
11.328125,42.65615845,119,42.65615845
11.328125,42.86741257,120,42.86741257
11.71875,42.55052948,121,42.55052948
11.71875,42.97304153,122,42.97304153
11.71875,42.86741257,123,42.86741257
11.71875,42.65615845,124,42.65615845
11.71875,43.0786705,125,43.0786705
11.71875,42.44490433,126,42.44490433
12.109375,42.55052948,127,42.55052948
12.109375,42.55052948,128,42.55052948
12.109375,42.65615845,129,42.65615845
12.109375,42.65615845,130,42.65615845
12.109375,42.65615845,131,42.65615845
12.109375,42.65615845,132,42.65615845
12.5,42.97304153,133,42.97304153
12.5,42.97304153,134,42.97304153
12.5,42.65615845,135,42.65615845
12.5,42.55052948,136,42.55052948
12.5,42.97304153,137,42.97304153
12.890625,42.65615845,138,42.65615845
12.890625,42.65615845,139,42.65615845
12.890625,42.55052948,140,42.55052948
12.890625,42.86741257,141,42.86741257
12.890625,42.55052948,142,42.55052948
12.890625,42.97304153,143,42.97304153
12.890625,42.65615845,144,42.65615845
13.28125,42.65615845,145,42.65615845
13.28125,42.65615845,146,42.65615845
13.28125,42.86741257,147,42.86741257
13.28125,42.55052948,148,42.55052948
13.28125,42.97304153,149,42.97304153
13.28125,42.55052948,150,42.55052948
13.671875,42.65615845,151,42.65615845
13.671875,42.44490433,152,42.44490433
13.671875,42.65615845,153,42.65615845
13.671875,42.86741257,154,42.86741257
13.671875,42.97304153,155,42.97304153
13.671875,42.65615845,156,42.65615845
14.0625,42.97304153,157,42.97304153
14.0625,42.97304153,158,42.97304153
14.0625,43.0786705,159,43.0786705
14.0625,42.65615845,160,42.65615845
14.0625,42.55052948,161,42.55052948
14.0625,42.97304153,162,42.97304153
14.453125,42.65615845,163,42.65615845
14.453125,42.65615845,164,42.65615845
14.453125,42.97304153,165,42.97304153
14.453125,42.65615845,166,42.65615845
14.453125,42.7617836,167,42.7617836
14.453125,42.86741257,168,42.86741257
14.84375,42.65615845,169,42.65615845
14.84375,42.65615845,170,42.65615845
14.84375,42.97304153,171,42.97304153
14.84375,42.65615845,172,42.65615845
14.84375,42.97304153,173,42.97304153
15.234375,42.65615845,174,42.65615845
15.234375,42.97304153,175,42.97304153
15.234375,42.86741257,176,42.86741257
15.234375,42.86741257,177,42.86741257
15.234375,42.86741257,178,42.86741257
15.234375,42.97304153,179,42.97304153
15.234375,42.7617836,180,42.7617836
15.625,42.55052948,181,42.55052948
15.625,42.97304153,182,42.97304153
15.625,42.55052948,183,42.55052948
15.625,42.65615845,184,42.65615845
15.625,42.7617836,185,42.7617836
15.625,42.65615845,186,42.65615845
16.015625,42.65615845,187,42.65615845
16.015625,42.86741257,188,42.86741257
16.015625,42.65615845,189,42.65615845
16.015625,42.55052948,190,42.55052948
16.015625,42.86741257,191,42.86741257
16.40625,42.65615845,192,42.65615845
16.40625,42.86741257,193,42.86741257
16.40625,42.65615845,194,42.65615845
16.40625,42.65615845,195,42.65615845
16.40625,42.65615845,196,42.65615845
16.40625,42.97304153,197,42.97304153
16.796875,42.65615845,198,42.65615845
16.796875,42.97304153,199,42.97304153
16.796875,42.55052948,200,42.55052948
16.796875,42.97304153,201,42.97304153
16.796875,42.65615845,202,42.65615845
16.796875,42.97304153,203,42.97304153
16.796875,42.55052948,204,42.55052948
17.578125,42.55052948,205,42.55052948
17.578125,42.55052948,206,42.55052948
17.578125,42.55052948,207,42.55052948
17.578125,42.65615845,208,42.65615845
17.578125,42.65615845,209,42.65615845
17.578125,42.65615845,210,42.65615845
17.96875,42.65615845,211,42.65615845
17.96875,42.55052948,212,42.55052948
17.96875,42.97304153,213,42.97304153
17.96875,42.65615845,214,42.65615845
17.96875,42.65615845,215,42.65615845
17.96875,43.0786705,216,43.0786705
18.359375,42.55052948,217,42.55052948
18.359375,42.97304153,218,42.97304153
18.359375,42.7617836,219,42.7617836
18.359375,42.97304153,220,42.97304153
18.359375,42.86741257,221,42.86741257
18.359375,42.65615845,222,42.65615845
18.75,42.55052948,223,42.55052948
18.75,43.0786705,224,43.0786705
18.75,42.65615845,225,42.65615845
18.75,42.86741257,226,42.86741257
18.75,42.65615845,227,42.65615845
18.75,42.65615845,228,42.65615845
19.140625,42.97304153,229,42.97304153
19.140625,42.55052948,230,42.55052948
19.140625,42.65615845,231,42.65615845
19.140625,42.97304153,232,42.97304153
19.140625,42.55052948,233,42.55052948
19.53125,42.55052948,234,42.55052948
19.53125,42.55052948,235,42.55052948
19.53125,42.86741257,236,42.86741257
19.53125,42.55052948,237,42.55052948
19.53125,42.55052948,238,42.55052948
19.53125,42.86741257,239,42.86741257
19.53125,42.55052948,240,42.55052948
19.921875,42.86741257,241,42.86741257
19.921875,42.97304153,242,42.97304153
19.921875,42.55052948,243,42.55052948
19.921875,42.55052948,244,42.55052948
19.921875,42.55052948,245,42.55052948
19.921875,42.97304153,246,42.97304153
20.3125,42.65615845,247,42.65615845
20.3125,42.65615845,248,42.65615845
20.3125,42.7617836,249,42.7617836
20.3125,42.65615845,250,42.65615845
20.3125,42.97304153,251,42.97304153
20.3125,42.65615845,252,42.65615845
20.703125,42.65615845,253,42.65615845
20.703125,42.97304153,254,42.97304153
20.703125,42.65615845,255,42.65615845
20.703125,42.55052948,256,42.55052948
20.703125,42.65615845,257,42.65615845
21.09375,42.55052948,258,42.55052948
21.09375,42.55052948,259,42.55052948
21.09375,42.97304153,260,42.97304153
21.09375,42.65615845,261,42.65615845
21.09375,42.65615845,262,42.65615845
21.09375,42.65615845,263,42.65615845
21.484375,42.97304153,264,42.97304153
21.484375,42.65615845,265,42.65615845
21.484375,42.86741257,266,42.86741257
21.484375,42.65615845,267,42.65615845
21.484375,42.97304153,268,42.97304153
21.484375,42.7617836,269,42.7617836
21.484375,42.65615845,270,42.65615845
21.875,42.65615845,271,42.65615845
